FSM,Test-Cases,Cores,Total CPU,Execution GPU,Total GPU
kugoo.test,577347,32,274.94324962,214.64269184,372.94856817
kugoo.test,577347,8,738.1477413,214.64269184,372.94856817
kugoo.test,577347,4,1211.9412131039,214.64269184,372.94856817
kugoo.test,577347,1,2146.7934177059,214.64269184,372.94856817
dhcp.test,384400,32,86.02103105,80.46950016,183.30482674
dhcp.test,384400,8,197.0967321,80.46950016,183.30482674
dhcp.test,384400,4,343.52638513,80.46950016,183.30482674
dhcp.test,384400,1,745.67618657,80.46950016,183.30482674
qq.test,448824,32,126.87699145,740.47896224,875.40954117
qq.test,448824,8,228.79589752,740.47896224,875.40954117
qq.test,448824,4,404.39167977,740.47896224,875.40954117
qq.test,448824,1,1075.05178687,740.47896224,875.40954117
ncp.test,704611,32,187.50866041,780.81799072,970.5040615
ncp.test,704611,8,324.72250303,780.81799072,970.5040615
ncp.test,704611,4,606.51235674,780.81799072,970.5040615
ncp.test,704611,1,1669.8112356875,780.81799072,970.5040615
dayofdefeat-source.test,512328,32,183.05516156,966.55042112,1120.44595225
dayofdefeat-source.test,512328,8,411.16534792,966.55042112,1120.44595225
dayofdefeat-source.test,512328,4,707.77526969,966.55042112,1120.44595225
dayofdefeat-source.test,512328,1,1418.1816764561,966.55042112,1120.44595225
