Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
aim.test,16384,32,1.838297,0.970624,4.901752,7.773952,11.596121
aim.test,16384,8,3.613946,0.970624,4.901752,7.773952,11.596121
aim.test,16384,4,6.428136,0.970624,4.901752,7.773952,11.596121
aim.test,16384,1,15.574573,0.970624,4.901752,7.773952,11.596121
ares.test,16384,32,5.102197,0.573344,4.135311,1.817216,5.465022
ares.test,16384,8,2.294501,0.573344,4.135311,1.817216,5.465022
ares.test,16384,4,4.246989,0.573344,4.135311,1.817216,5.465022
ares.test,16384,1,9.157889,0.573344,4.135311,1.817216,5.465022
battlefield2.test,16384,32,2.431041,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,8,5.416762,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,4,8.42539,2.150496,6.075506,2.614272,6.28468
battlefield2.test,16384,1,20.244585,2.150496,6.075506,2.614272,6.28468
bgp.test,16384,32,5.550998,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,8,3.252656,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,4,5.498686,0.738464,5.709328,1.697312,5.691168
bgp.test,16384,1,12.410475,0.738464,5.709328,1.697312,5.691168
counterstrike-source.test,16384,32,2.806647,0.58512,4.478721,7.741504,11.353282
counterstrike-source.test,16384,8,2.357707,0.58512,4.478721,7.741504,11.353282
counterstrike-source.test,16384,4,4.410765,0.58512,4.478721,7.741504,11.353282
counterstrike-source.test,16384,1,9.501646,0.58512,4.478721,7.741504,11.353282
dayofdefeat-source.test,16384,32,1.173475,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,8,2.367066,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,4,4.378289,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,1,9.500739,0.586016,4.651579,3.05408,6.838802
dhcp.test,16384,32,1.319375,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,8,2.632603,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,4,4.81829,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,1,10.690418,0.65856,4.385972,2.631968,6.277207
dns.test,16384,32,13.604691,57.755904,61.875872,56.562784,63.677428
dns.test,16384,8,13.656933,57.755904,61.875872,56.562784,63.677428
dns.test,16384,4,14.804846,57.755904,61.875872,56.562784,63.677428
dns.test,16384,1,20.905983,57.755904,61.875872,56.562784,63.677428
ftp.test,16384,32,0.93343,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,8,1.939846,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,4,3.415106,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,1,7.263159,0.516512,4.299019,1.484992,5.24949
gopher.test,16384,32,1.189609,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,8,2.579942,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,4,4.793636,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,1,10.242385,1.695168,5.510139,4.883456,9.916993
h323.test,16384,32,1.134085,0.802368,4.703052,1.283232,6.326026
h323.test,16384,8,2.262723,0.802368,4.703052,1.283232,6.326026
h323.test,16384,4,4.330378,0.802368,4.703052,1.283232,6.326026
h323.test,16384,1,11.651016,0.802368,4.703052,1.283232,6.326026
halflife2-deathmatch.test,16384,32,3.973837,0.585088,4.669527,5.868512,9.661792
halflife2-deathmatch.test,16384,8,2.361339,0.585088,4.669527,5.868512,9.661792
halflife2-deathmatch.test,16384,4,4.376124,0.585088,4.669527,5.868512,9.661792
halflife2-deathmatch.test,16384,1,10.95798,0.585088,4.669527,5.868512,9.661792
hotline.test,16384,32,5.007071,7.30912,11.101784,6.901504,10.645438
hotline.test,16384,8,4.14027,7.30912,11.101784,6.901504,10.645438
hotline.test,16384,4,5.6948,7.30912,11.101784,6.901504,10.645438
hotline.test,16384,1,10.327312,7.30912,11.101784,6.901504,10.645438
irc.test,16384,32,1.129336,2.108928,6.019912,5.785344,9.267957
irc.test,16384,8,2.446127,2.108928,6.019912,5.785344,9.267957
irc.test,16384,4,4.679445,2.108928,6.019912,5.785344,9.267957
irc.test,16384,1,8.951576,2.108928,6.019912,5.785344,9.267957
kugoo.test,16384,32,1.433705,0.76992,4.712131,4.099808,7.602867
kugoo.test,16384,8,3.015474,0.76992,4.712131,4.099808,7.602867
kugoo.test,16384,4,5.221066,0.76992,4.712131,4.099808,7.602867
kugoo.test,16384,1,12.181393,0.76992,4.712131,4.099808,7.602867
liveforspeed.test,16384,32,1.449908,1.247136,5.02544,1.563072,5.492678
liveforspeed.test,16384,8,2.469383,1.247136,5.02544,1.563072,5.492678
liveforspeed.test,16384,4,4.499115,1.247136,5.02544,1.563072,5.492678
liveforspeed.test,16384,1,9.24044,1.247136,5.02544,1.563072,5.492678
lpd.test,16384,32,3.21529,2.383296,6.210998,6.984768,10.642085
lpd.test,16384,8,3.431239,2.383296,6.210998,6.984768,10.642085
lpd.test,16384,4,6.089963,2.383296,6.210998,6.984768,10.642085
lpd.test,16384,1,11.714293,2.383296,6.210998,6.984768,10.642085
ncp.test,16384,32,1.853941,1.183776,5.064342,4.28048,8.132195
ncp.test,16384,8,3.667373,1.183776,5.064342,4.28048,8.132195
ncp.test,16384,4,6.5667,1.183776,5.064342,4.28048,8.132195
ncp.test,16384,1,15.925243,1.183776,5.064342,4.28048,8.132195
ntp.test,16384,32,1.140301,0.55264,4.319972,8.063072,11.690336
ntp.test,16384,8,2.2285,0.55264,4.319972,8.063072,11.690336
ntp.test,16384,4,4.107165,0.55264,4.319972,8.063072,11.690336
ntp.test,16384,1,9.040134,0.55264,4.319972,8.063072,11.690336
poco.test,16384,32,5.30718,0.5864,4.644804,2.040224,5.792996
poco.test,16384,8,2.362107,0.5864,4.644804,2.040224,5.792996
poco.test,16384,4,4.421172,0.5864,4.644804,2.040224,5.792996
poco.test,16384,1,13.309681,0.5864,4.644804,2.040224,5.792996
qq.test,16384,32,5.202488,3.796224,7.7517,3.890496,7.734518
qq.test,16384,8,3.050464,3.796224,7.7517,3.890496,7.734518
qq.test,16384,4,4.430042,3.796224,7.7517,3.890496,7.734518
qq.test,16384,1,9.529514,3.796224,7.7517,3.890496,7.734518
rlogin.test,16384,32,2.777314,1.038368,4.950779,1.62992,5.504691
rlogin.test,16384,8,5.011751,1.038368,4.950779,1.62992,5.504691
rlogin.test,16384,4,7.966812,1.038368,4.950779,1.62992,5.504691
rlogin.test,16384,1,14.616973,1.038368,4.950779,1.62992,5.504691
rtp.test,16384,32,1.106288,0.566944,4.472575,8.227744,12.018241
rtp.test,16384,8,2.249802,0.566944,4.472575,8.227744,12.018241
rtp.test,16384,4,4.190835,0.566944,4.472575,8.227744,12.018241
rtp.test,16384,1,9.040624,0.566944,4.472575,8.227744,12.018241
runesofmagic.test,16384,32,1.12333,0.570528,4.516924,5.59312,9.293937
runesofmagic.test,16384,8,2.282977,0.570528,4.516924,5.59312,9.293937
runesofmagic.test,16384,4,4.079438,0.570528,4.516924,5.59312,9.293937
runesofmagic.test,16384,1,10.150962,0.570528,4.516924,5.59312,9.293937
skypetoskype.test,16384,32,5.246977,6.6736,10.555835,5.430848,9.354769
skypetoskype.test,16384,8,3.779121,6.6736,10.555835,5.430848,9.354769
skypetoskype.test,16384,4,5.420743,6.6736,10.555835,5.430848,9.354769
skypetoskype.test,16384,1,13.715601,6.6736,10.555835,5.430848,9.354769
smtp.test,16384,32,0.871971,0.390912,3.982149,1.13552,6.110566
smtp.test,16384,8,1.903389,0.390912,3.982149,1.13552,6.110566
smtp.test,16384,4,3.590059,0.390912,3.982149,1.13552,6.110566
smtp.test,16384,1,6.839083,0.390912,3.982149,1.13552,6.110566
soribada.test,16384,32,1.126612,0.64112,4.551985,3.99424,7.856321
soribada.test,16384,8,2.350304,0.64112,4.551985,3.99424,7.856321
soribada.test,16384,4,4.330518,0.64112,4.551985,3.99424,7.856321
soribada.test,16384,1,9.408061,0.64112,4.551985,3.99424,7.856321
soulseek.test,16384,32,2.914693,6.355584,10.142444,6.40448,10.143208
soulseek.test,16384,8,5.662115,6.355584,10.142444,6.40448,10.143208
soulseek.test,16384,4,9.169133,6.355584,10.142444,6.40448,10.143208
soulseek.test,16384,1,25.442468,6.355584,10.142444,6.40448,10.143208
ssl.test,16384,32,4.42683,11.251168,17.335413,12.584768,16.378301
ssl.test,16384,8,4.903358,11.251168,17.335413,12.584768,16.378301
ssl.test,16384,4,7.06949,11.251168,17.335413,12.584768,16.378301
ssl.test,16384,1,12.609312,11.251168,17.335413,12.584768,16.378301
stun.test,16384,32,1.101818,0.568192,4.355382,5.9952,9.56101
stun.test,16384,8,2.266913,0.568192,4.355382,5.9952,9.56101
stun.test,16384,4,4.247756,0.568192,4.355382,5.9952,9.56101
stun.test,16384,1,9.753566,0.568192,4.355382,5.9952,9.56101
subspace.test,16384,32,1.090016,0.566944,4.499814,4.224736,7.848988
subspace.test,16384,8,2.265097,0.566944,4.499814,4.224736,7.848988
subspace.test,16384,4,4.217445,0.566944,4.499814,4.224736,7.848988
subspace.test,16384,1,9.092517,0.566944,4.499814,4.224736,7.848988
teamfortress2.test,16384,32,1.163977,0.587456,4.424175,4.220224,8.080163
teamfortress2.test,16384,8,2.333752,0.587456,4.424175,4.220224,8.080163
teamfortress2.test,16384,4,4.272829,0.587456,4.424175,4.220224,8.080163
teamfortress2.test,16384,1,10.921036,0.587456,4.424175,4.220224,8.080163
teamspeak.test,16384,32,5.30327,0.57824,4.379268,4.020736,9.013524
teamspeak.test,16384,8,2.324183,0.57824,4.379268,4.020736,9.013524
teamspeak.test,16384,4,4.305864,0.57824,4.379268,4.020736,9.013524
teamspeak.test,16384,1,9.296245,0.57824,4.379268,4.020736,9.013524
tftp.test,16384,32,0.877697,0.917696,4.836729,2.7312,6.633398
tftp.test,16384,8,1.861623,0.917696,4.836729,2.7312,6.633398
tftp.test,16384,4,3.502268,0.917696,4.836729,2.7312,6.633398
tftp.test,16384,1,6.594009,0.917696,4.836729,2.7312,6.633398
tsp.test,16384,32,1.128498,10.563648,14.298568,7.295936,10.780861
tsp.test,16384,8,2.59873,10.563648,14.298568,7.295936,10.780861
tsp.test,16384,4,4.662685,10.563648,14.298568,7.295936,10.780861
tsp.test,16384,1,16.12988,10.563648,14.298568,7.295936,10.780861
ventrilo.test,16384,32,1.524499,1.245664,5.143193,1.5552,5.459434
ventrilo.test,16384,8,2.485866,1.245664,5.143193,1.5552,5.459434
ventrilo.test,16384,4,4.476906,1.245664,5.143193,1.5552,5.459434
ventrilo.test,16384,1,8.543354,1.245664,5.143193,1.5552,5.459434
whois.test,16384,32,5.096819,0.80304,4.760812,1.341312,5.171128
whois.test,16384,8,2.080018,0.80304,4.760812,1.341312,5.171128
whois.test,16384,4,4.199425,0.80304,4.760812,1.341312,5.171128
whois.test,16384,1,8.630376,0.80304,4.760812,1.341312,5.171128
xboxlive.test,16384,32,4.883872,0.577024,4.496322,3.038752,6.53143
xboxlive.test,16384,8,2.297714,0.577024,4.496322,3.038752,6.53143
xboxlive.test,16384,4,4.141946,0.577024,4.496322,3.038752,6.53143
xboxlive.test,16384,1,8.620878,0.577024,4.496322,3.038752,6.53143
yahoo.test,16384,32,1.166492,0.817952,4.653116,1.306752,4.813959
yahoo.test,16384,8,2.418469,0.817952,4.653116,1.306752,4.813959
yahoo.test,16384,4,4.496461,0.817952,4.653116,1.306752,4.813959
yahoo.test,16384,1,10.775207,0.817952,4.653116,1.306752,4.813959
